ID,CUSTOMERNAME,PHONE,PRODUCT,TRANSPORTINDUSTRY,PRODUCTCODE,ADDRESSLINE,CITY,COUNTRY,TERRITORY
440,Mini Wheels Co.,6505555787,Trucks and Buses,Land-Based,S18_1097,5557 North Pendale Street,San Francisco,USA,NA
441,"Australian Collectors, Co.",03 9520 4555,Trucks and Buses,Land-Based,S18_1097,636 St Kilda Road,Melbourne,Australia,APAC
442,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S18_1097,5677 Strong St.,San Rafael,USA,NA
443,"Anna's Decorations, Ltd",02 9936 8555,Trucks and Buses,Land-Based,S18_1097,201 Miller Street,North Sydney,Australia,APAC
444,Corporate Gift Ideas Co.,6505551386,Trucks and Buses,Land-Based,S18_1097,7734 Strong St.,San Francisco,USA,NA
445,"Anna's Decorations, Ltd",02 9936 8555,Trucks and Buses,Land-Based,S18_1097,201 Miller Street,North Sydney,Australia,APAC
446,Quebec Home Shopping Network,(514) 555-8054,Trucks and Buses,Land-Based,S18_1097,43 rue St. Laurent,Montreal,Canada,NA
447,Euro Shopping Channel,(91) 555 94 44,Trucks and Buses,Land-Based,S18_1097,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
448,Motor Mint Distributors Inc.,2155559857,Classic Cars,Land-Based,S18_1129,11328 Douglas Av.,Philadelphia,USA,NA
449,Marseille Mini Autos,91.24.4555,Classic Cars,Land-Based,S18_1129,"12, rue des Bouchers",Marseille,France,EMEA
450,Alpha Cognac,61.77.6555,Classic Cars,Land-Based,S18_1129,1 rue Alsace-Lorraine,Toulouse,France,EMEA
451,"Anna's Decorations, Ltd",02 9936 8555,Classic Cars,Land-Based,S18_1129,201 Miller Street,North Sydney,Australia,APAC
452,Heintze Collectables,86 21 3555,Classic Cars,Land-Based,S18_1129,Smagsloget 45,Aaarhus,Denmark,EMEA
453,Quebec Home Shopping Network,(514) 555-8054,Classic Cars,Land-Based,S18_1129,43 rue St. Laurent,Montreal,Canada,NA
454,Herkku Gifts,+47 2267 3215,Classic Cars,Land-Based,S18_1129,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA
455,Online Diecast Creations Co.,6035558647,Classic Cars,Land-Based,S18_1129,2304 Long Airport Avenue,Nashua,USA,NA
456,Muscle Machine Inc,2125557413,Classic Cars,Land-Based,S18_1129,4092 Furth Circle,NYC,USA,NA
457,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S18_1129,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
458,"Vida Sport, Ltd",0897-034555,Classic Cars,Land-Based,S18_1129,Grenzacherweg 237,Gensve,Switzerland,EMEA
459,Osaka Souveniers Co.,+81 06 6342 5555,Classic Cars,Land-Based,S18_1129,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,APAC
460,"UK Collectables, Ltd.",(171) 555-2282,Classic Cars,Land-Based,S18_1129,Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA
461,L'ordine Souveniers,0522-556555,Classic Cars,Land-Based,S18_1129,Strada Provinciale 124,Reggio Emilia,Italy,EMEA
462,Signal Gift Stores,7025551838,Classic Cars,Land-Based,S18_1129,8489 Strong St.,Las Vegas,USA,NA
463,"Vida Sport, Ltd",0897-034555,Classic Cars,Land-Based,S18_1129,Grenzacherweg 237,Gensve,Switzerland,EMEA
464,"Norway Gifts By Mail, Co.",+47 2212 1555,Classic Cars,Land-Based,S18_1129,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,EMEA
465,"Toms Spezialitten, Ltd",0221-5554327,Classic Cars,Land-Based,S18_1129,Mehrheimerstr. 369,Koln,Germany,EMEA
466,FunGiftIdeas.com,5085552555,Classic Cars,Land-Based,S18_1129,1785 First Street,New Bedford,USA,NA
467,Motor Mint Distributors Inc.,2155559857,Classic Cars,Land-Based,S18_1129,11328 Douglas Av.,Philadelphia,USA,NA
468,"Australian Collectors, Co.",03 9520 4555,Classic Cars,Land-Based,S18_1129,636 St Kilda Road,Melbourne,Australia,APAC
469,Lyon Souveniers,+33 1 46 62 7555,Classic Cars,Land-Based,S18_1129,27 rue du Colonel Pierre Avia,Paris,France,EMEA
470,Mini Creations Ltd.,5085559555,Classic Cars,Land-Based,S18_1129,4575 Hillside Dr.,New Bedford,USA,NA
471,"Toys of Finland, Co.",90-224 8555,Classic Cars,Land-Based,S18_1129,Keskuskatu 45,Helsinki,Finland,EMEA
472,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S18_1129,5677 Strong St.,San Rafael,USA,NA
473,Danish Wholesale Imports,31 12 3555,Classic Cars,Land-Based,S18_1129,Vinb'ltet 34,Kobenhavn,Denmark,EMEA
474,Salzburg Collectables,6562-9555,Classic Cars,Land-Based,S18_1129,Geislweg 14,Salzburg,Austria,EMEA
475,Vitachrome Inc.,2125551500,Vintage Cars,Land-Based,S18_1342,2678 Kingston Rd.,NYC,USA,NA
476,Mini Wheels Co.,6505555787,Vintage Cars,Land-Based,S18_1342,5557 North Pendale Street,San Francisco,USA,NA
477,"Australian Collectors, Co.",03 9520 4555,Vintage Cars,Land-Based,S18_1342,636 St Kilda Road,Melbourne,Australia,APAC
478,Souveniers And Things Co.,+61 2 9495 8555,Vintage Cars,Land-Based,S18_1342,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
479,Signal Collectibles Ltd.,4155554312,Vintage Cars,Land-Based,S18_1342,2793 Furth Circle,Brisbane,USA,NA
480,Corporate Gift Ideas Co.,6505551386,Vintage Cars,Land-Based,S18_1342,7734 Strong St.,San Francisco,USA,NA
481,Rovelli Gifts,035-640555,Vintage Cars,Land-Based,S18_1342,Via Ludovico il Moro 22,Bergamo,Italy,EMEA
482,Mini Gifts Distributors Ltd.,4155551450,Vintage Cars,Land-Based,S18_1342,5677 Strong St.,San Rafael,USA,NA
483,"Australian Collectables, Ltd",61-9-3844-6555,Vintage Cars,Land-Based,S18_1342,7 Allen Street,Glen Waverly,Australia,APAC
484,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S18_1342,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
485,West Coast Collectables Co.,3105553722,Vintage Cars,Land-Based,S18_1342,3675 Furth Circle,Burbank,USA,NA
486,"Saveley & Henriot, Co.",78.32.5555,Vintage Cars,Land-Based,S18_1342,"2, rue du Commerce",Lyon,France,EMEA
487,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S18_1342,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
488,Danish Wholesale Imports,31 12 3555,Vintage Cars,Land-Based,S18_1342,Vinb'ltet 34,Kobenhavn,Denmark,EMEA
489,Amica Models & Co.,011-4988555,Vintage Cars,Land-Based,S18_1342,Via Monte Bianco 34,Torino,Italy,EMEA
490,Herkku Gifts,+47 2267 3215,Vintage Cars,Land-Based,S18_1342,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA
491,Auto Assoc. & Cie.,30.59.8555,Vintage Cars,Land-Based,S18_1342,"67, avenue de l'Europe",Versailles,France,EMEA
492,Mini Gifts Distributors Ltd.,4155551450,Vintage Cars,Land-Based,S18_1342,5677 Strong St.,San Rafael,USA,NA
493,Online Diecast Creations Co.,6035558647,Vintage Cars,Land-Based,S18_1342,2304 Long Airport Avenue,Nashua,USA,NA
494,"AV Stores, Co.",(171) 555-1555,Vintage Cars,Land-Based,S18_1342,Fauntleroy Circus,Manchester,UK,EMEA
495,Signal Gift Stores,7025551838,Vintage Cars,Land-Based,S18_1342,8489 Strong St.,Las Vegas,USA,NA
496,Lyon Souveniers,+33 1 46 62 7555,Vintage Cars,Land-Based,S18_1342,27 rue du Colonel Pierre Avia,Paris,France,EMEA
497,Collectables For Less Inc.,6175558555,Vintage Cars,Land-Based,S18_1342,7825 Douglas Av.,Brickhaven,USA,NA
498,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S18_1342,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
499,"Anna's Decorations, Ltd",02 9936 8555,Vintage Cars,Land-Based,S18_1342,201 Miller Street,North Sydney,Australia,APAC
500,Diecast Classics Inc.,2155551555,Vintage Cars,Land-Based,S18_1342,7586 Pompton St.,Allentown,USA,NA
501,Vitachrome Inc.,2125551500,Vintage Cars,Land-Based,S18_1367,2678 Kingston Rd.,NYC,USA,NA
502,Mini Wheels Co.,6505555787,Vintage Cars,Land-Based,S18_1367,5557 North Pendale Street,San Francisco,USA,NA
503,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Vintage Cars,Land-Based,S18_1367,"C/ Araquil, 67",Madrid,Spain,EMEA
504,Souveniers And Things Co.,+61 2 9495 8555,Vintage Cars,Land-Based,S18_1367,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
505,Signal Collectibles Ltd.,4155554312,Vintage Cars,Land-Based,S18_1367,2793 Furth Circle,Brisbane,USA,NA
506,Corporate Gift Ideas Co.,6505551386,Vintage Cars,Land-Based,S18_1367,7734 Strong St.,San Francisco,USA,NA
507,Rovelli Gifts,035-640555,Vintage Cars,Land-Based,S18_1367,Via Ludovico il Moro 22,Bergamo,Italy,EMEA
508,Mini Gifts Distributors Ltd.,4155551450,Vintage Cars,Land-Based,S18_1367,5677 Strong St.,San Rafael,USA,NA
509,"Australian Collectables, Ltd",61-9-3844-6555,Vintage Cars,Land-Based,S18_1367,7 Allen Street,Glen Waverly,Australia,APAC
510,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S18_1367,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
511,West Coast Collectables Co.,3105553722,Vintage Cars,Land-Based,S18_1367,3675 Furth Circle,Burbank,USA,NA
512,"Saveley & Henriot, Co.",78.32.5555,Vintage Cars,Land-Based,S18_1367,"2, rue du Commerce",Lyon,France,EMEA
513,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S18_1367,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
514,Danish Wholesale Imports,31 12 3555,Vintage Cars,Land-Based,S18_1367,Vinb'ltet 34,Kobenhavn,Denmark,EMEA
515,Amica Models & Co.,011-4988555,Vintage Cars,Land-Based,S18_1367,Via Monte Bianco 34,Torino,Italy,EMEA
516,Herkku Gifts,+47 2267 3215,Vintage Cars,Land-Based,S18_1367,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA
517,Auto Assoc. & Cie.,30.59.8555,Vintage Cars,Land-Based,S18_1367,"67, avenue de l'Europe",Versailles,France,EMEA
518,Mini Gifts Distributors Ltd.,4155551450,Vintage Cars,Land-Based,S18_1367,5677 Strong St.,San Rafael,USA,NA
519,Online Diecast Creations Co.,6035558647,Vintage Cars,Land-Based,S18_1367,2304 Long Airport Avenue,Nashua,USA,NA
520,"AV Stores, Co.",(171) 555-1555,Vintage Cars,Land-Based,S18_1367,Fauntleroy Circus,Manchester,UK,EMEA
521,"Australian Collectors, Co.",03 9520 4555,Vintage Cars,Land-Based,S18_1367,636 St Kilda Road,Melbourne,Australia,APAC
522,Lyon Souveniers,+33 1 46 62 7555,Vintage Cars,Land-Based,S18_1367,27 rue du Colonel Pierre Avia,Paris,France,EMEA
523,Collectables For Less Inc.,6175558555,Vintage Cars,Land-Based,S18_1367,7825 Douglas Av.,Brickhaven,USA,NA
524,Corporate Gift Ideas Co.,6505551386,Vintage Cars,Land-Based,S18_1367,7734 Strong St.,San Francisco,USA,NA
525,"Anna's Decorations, Ltd",02 9936 8555,Vintage Cars,Land-Based,S18_1367,201 Miller Street,North Sydney,Australia,APAC
526,Diecast Classics Inc.,2155551555,Vintage Cars,Land-Based,S18_1367,7586 Pompton St.,Allentown,USA,NA
527,"AV Stores, Co.",(171) 555-1555,Classic Cars,Land-Based,S18_1589,Fauntleroy Circus,Manchester,UK,EMEA
528,Atelier graphique,40.32.2555,Classic Cars,Land-Based,S18_1589,"54, rue Royale",Nantes,France,EMEA
529,Reims Collectables,26.47.1555,Classic Cars,Land-Based,S18_1589,59 rue de l'Abbaye,Reims,France,EMEA
530,"Anna's Decorations, Ltd",02 9936 8555,Classic Cars,Land-Based,S18_1589,201 Miller Street,North Sydney,Australia,APAC
531,Heintze Collectables,86 21 3555,Classic Cars,Land-Based,S18_1589,Smagsloget 45,Aaarhus,Denmark,EMEA
532,Gift Depot Inc.,2035552570,Classic Cars,Land-Based,S18_1589,25593 South Bay Ln.,Bridgewater,USA,NA
533,Herkku Gifts,+47 2267 3215,Classic Cars,Land-Based,S18_1589,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA
534,Online Diecast Creations Co.,6035558647,Classic Cars,Land-Based,S18_1589,2304 Long Airport Avenue,Nashua,USA,NA
535,Muscle Machine Inc,2125557413,Classic Cars,Land-Based,S18_1589,4092 Furth Circle,NYC,USA,NA
536,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S18_1589,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
537,Collectable Mini Designs Co.,7605558146,Classic Cars,Land-Based,S18_1589,361 Furth Circle,San Diego,USA,NA
538,Mini Caravy,88.60.1555,Classic Cars,Land-Based,S18_1589,"24, place Kluber",Strasbourg,France,EMEA
539,"UK Collectables, Ltd.",(171) 555-2282,Classic Cars,Land-Based,S18_1589,Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA
540,L'ordine Souveniers,0522-556555,Classic Cars,Land-Based,S18_1589,Strada Provinciale 124,Reggio Emilia,Italy,EMEA
541,Signal Gift Stores,7025551838,Classic Cars,Land-Based,S18_1589,8489 Strong St.,Las Vegas,USA,NA
542,Handji Gifts& Co,+65 224 1555,Classic Cars,Land-Based,S18_1589,Village Close - 106 Linden Road Sandown,Singapore,Singapore,APAC
543,"Norway Gifts By Mail, Co.",+47 2212 1555,Classic Cars,Land-Based,S18_1589,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,EMEA
544,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S18_1589,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
545,FunGiftIdeas.com,5085552555,Classic Cars,Land-Based,S18_1589,1785 First Street,New Bedford,USA,NA
546,Motor Mint Distributors Inc.,2155559857,Classic Cars,Land-Based,S18_1589,11328 Douglas Av.,Philadelphia,USA,NA
547,Reims Collectables,26.47.1555,Classic Cars,Land-Based,S18_1589,59 rue de l'Abbaye,Reims,France,EMEA
548,Toys4GrownUps.com,6265557265,Classic Cars,Land-Based,S18_1589,78934 Hillside Dr.,Pasadena,USA,NA
549,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S18_1589,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
550,The Sharp Gifts Warehouse,4085553659,Classic Cars,Land-Based,S18_1589,3086 Ingle Ln.,San Jose,USA,NA
551,Salzburg Collectables,6562-9555,Classic Cars,Land-Based,S18_1589,Geislweg 14,Salzburg,Austria,EMEA
552,Rovelli Gifts,035-640555,Planes,Aero,S18_1662,Via Ludovico il Moro 22,Bergamo,Italy,EMEA
553,Salzburg Collectables,6562-9555,Planes,Aero,S18_1662,Geislweg 14,Salzburg,Austria,EMEA
554,Gift Ideas Corp.,2035554407,Planes,Aero,S18_1662,2440 Pompton St.,Glendale,USA,NA
555,Mini Creations Ltd.,5085559555,Planes,Aero,S18_1662,4575 Hillside Dr.,New Bedford,USA,NA
556,"Toys of Finland, Co.",90-224 8555,Planes,Aero,S18_1662,Keskuskatu 45,Helsinki,Finland,EMEA
557,Scandinavian Gift Ideas,0695-34 6555,Planes,Aero,S18_1662,?kergatan 24,Boras,Sweden,EMEA
558,Alpha Cognac,61.77.6555,Planes,Aero,S18_1662,1 rue Alsace-Lorraine,Toulouse,France,EMEA
559,"Double Decker Gift Stores, Ltd",(171) 555-7555,Planes,Aero,S18_1662,120 Hanover Sq.,London,UK,EMEA
560,Cruz & Sons Co.,+63 2 555 3587,Planes,Aero,S18_1662,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,APAC
561,Osaka Souveniers Co.,+81 06 6342 5555,Planes,Aero,S18_1662,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,APAC
562,Collectable Mini Designs Co.,7605558146,Planes,Aero,S18_1662,361 Furth Circle,San Diego,USA,NA
563,The Sharp Gifts Warehouse,4085553659,Planes,Aero,S18_1662,3086 Ingle Ln.,San Jose,USA,NA
564,Euro Shopping Channel,(91) 555 94 44,Planes,Aero,S18_1662,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
565,Collectables For Less Inc.,6175558555,Planes,Aero,S18_1662,7825 Douglas Av.,Brickhaven,USA,NA
566,"Norway Gifts By Mail, Co.",+47 2212 1555,Planes,Aero,S18_1662,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,EMEA
567,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Planes,Aero,S18_1662,Hansastr. 15,Munich,Germany,EMEA
568,"Classic Gift Ideas, Inc",2155554695,Planes,Aero,S18_1662,782 First Street,Philadelphia,USA,NA
569,giftsbymail.co.uk,(198) 555-8888,Planes,Aero,S18_1662,Garden House Crowther Way,Cowes,UK,EMEA
570,Danish Wholesale Imports,31 12 3555,Planes,Aero,S18_1662,Vinb'ltet 34,Kobenhavn,Denmark,EMEA
571,Royale Belge,(071) 23 67 2555,Planes,Aero,S18_1662,"Boulevard Tirou, 255",Charleroi,Belgium,EMEA
572,"Stylish Desk Decors, Co.",(171) 555-0297,Planes,Aero,S18_1662,35 King George,London,UK,EMEA
573,"Oulu Toy Supplies, Inc.",981-443655,Planes,Aero,S18_1662,Torikatu 38,Oulu,Finland,EMEA
574,Euro Shopping Channel,(91) 555 94 44,Planes,Aero,S18_1662,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
575,Reims Collectables,26.47.1555,Planes,Aero,S18_1662,59 rue de l'Abbaye,Reims,France,EMEA
576,The Sharp Gifts Warehouse,4085553659,Planes,Aero,S18_1662,3086 Ingle Ln.,San Jose,USA,NA
577,L'ordine Souveniers,0522-556555,Planes,Aero,S18_1662,Strada Provinciale 124,Reggio Emilia,Italy,EMEA
578,Online Diecast Creations Co.,6035558647,Vintage Cars,Land-Based,S18_1749,2304 Long Airport Avenue,Nashua,USA,NA
579,"AV Stores, Co.",(171) 555-1555,Vintage Cars,Land-Based,S18_1749,Fauntleroy Circus,Manchester,UK,EMEA
580,Signal Gift Stores,7025551838,Vintage Cars,Land-Based,S18_1749,8489 Strong St.,Las Vegas,USA,NA
581,Signal Collectibles Ltd.,4155554312,Vintage Cars,Land-Based,S18_1749,2793 Furth Circle,Brisbane,USA,NA
582,Corporate Gift Ideas Co.,6505551386,Vintage Cars,Land-Based,S18_1749,7734 Strong St.,San Francisco,USA,NA
583,Rovelli Gifts,035-640555,Vintage Cars,Land-Based,S18_1749,Via Ludovico il Moro 22,Bergamo,Italy,EMEA
584,Mini Gifts Distributors Ltd.,4155551450,Vintage Cars,Land-Based,S18_1749,5677 Strong St.,San Rafael,USA,NA
585,"Australian Collectables, Ltd",61-9-3844-6555,Vintage Cars,Land-Based,S18_1749,7 Allen Street,Glen Waverly,Australia,APAC
586,Muscle Machine Inc,2125557413,Vintage Cars,Land-Based,S18_1749,4092 Furth Circle,NYC,USA,NA
587,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Vintage Cars,Land-Based,S18_1749,"C/ Araquil, 67",Madrid,Spain,EMEA
588,"Saveley & Henriot, Co.",78.32.5555,Vintage Cars,Land-Based,S18_1749,"2, rue du Commerce",Lyon,France,EMEA
589,Mini Caravy,88.60.1555,Vintage Cars,Land-Based,S18_1749,"24, place Kluber",Strasbourg,France,EMEA
590,Amica Models & Co.,011-4988555,Vintage Cars,Land-Based,S18_1749,Via Monte Bianco 34,Torino,Italy,EMEA
591,Handji Gifts& Co,+65 224 1555,Vintage Cars,Land-Based,S18_1749,Village Close - 106 Linden Road Sandown,Singapore,Singapore,APAC
592,"UK Collectables, Ltd.",(171) 555-2282,Vintage Cars,Land-Based,S18_1749,Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA
593,Mini Gifts Distributors Ltd.,4155551450,Vintage Cars,Land-Based,S18_1749,5677 Strong St.,San Rafael,USA,NA
594,Motor Mint Distributors Inc.,2155559857,Vintage Cars,Land-Based,S18_1749,11328 Douglas Av.,Philadelphia,USA,NA
595,Marseille Mini Autos,91.24.4555,Vintage Cars,Land-Based,S18_1749,"12, rue des Bouchers",Marseille,France,EMEA
596,Toys4GrownUps.com,6265557265,Vintage Cars,Land-Based,S18_1749,78934 Hillside Dr.,Pasadena,USA,NA
597,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S18_1749,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
598,The Sharp Gifts Warehouse,4085553659,Vintage Cars,Land-Based,S18_1749,3086 Ingle Ln.,San Jose,USA,NA
599,Souveniers And Things Co.,+61 2 9495 8555,Vintage Cars,Land-Based,S18_1749,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
600,Cruz & Sons Co.,+63 2 555 3587,Classic Cars,Land-Based,S18_1889,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,APAC
601,Marseille Mini Autos,91.24.4555,Classic Cars,Land-Based,S18_1889,"12, rue des Bouchers",Marseille,France,EMEA
602,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S18_1889,5677 Strong St.,San Rafael,USA,NA
603,Collectables For Less Inc.,6175558555,Classic Cars,Land-Based,S18_1889,7825 Douglas Av.,Brickhaven,USA,NA
604,"Men 'R' US Retailers, Ltd.",2155554369,Classic Cars,Land-Based,S18_1889,6047 Douglas Av.,Los Angeles,USA,NA
605,Mini Auto Werke,7675-3555,Classic Cars,Land-Based,S18_1889,Kirchgasse 6,Graz,Austria,EMEA
606,Herkku Gifts,+47 2267 3215,Classic Cars,Land-Based,S18_1889,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA
607,Online Diecast Creations Co.,6035558647,Classic Cars,Land-Based,S18_1889,2304 Long Airport Avenue,Nashua,USA,NA
608,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S18_1889,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
609,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S18_1889,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
610,"Vida Sport, Ltd",0897-034555,Classic Cars,Land-Based,S18_1889,Grenzacherweg 237,Gensve,Switzerland,EMEA
611,"Oulu Toy Supplies, Inc.",981-443655,Classic Cars,Land-Based,S18_1889,Torikatu 38,Oulu,Finland,EMEA
612,"UK Collectables, Ltd.",(171) 555-2282,Classic Cars,Land-Based,S18_1889,Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA
613,L'ordine Souveniers,0522-556555,Classic Cars,Land-Based,S18_1889,Strada Provinciale 124,Reggio Emilia,Italy,EMEA
614,Signal Gift Stores,7025551838,Classic Cars,Land-Based,S18_1889,8489 Strong St.,Las Vegas,USA,NA
615,"Vida Sport, Ltd",0897-034555,Classic Cars,Land-Based,S18_1889,Grenzacherweg 237,Gensve,Switzerland,EMEA
616,"Blauer See Auto, Co.",+49 69 66 90 2555,Classic Cars,Land-Based,S18_1889,Lyonerstr. 34,Frankfurt,Germany,EMEA
617,"Toms Spezialitten, Ltd",0221-5554327,Classic Cars,Land-Based,S18_1889,Mehrheimerstr. 369,Koln,Germany,EMEA
618,FunGiftIdeas.com,5085552555,Classic Cars,Land-Based,S18_1889,1785 First Street,New Bedford,USA,NA
619,Land of Toys Inc.,2125557818,Classic Cars,Land-Based,S18_1889,897 Long Airport Avenue,NYC,USA,NA
620,"Australian Collectors, Co.",03 9520 4555,Classic Cars,Land-Based,S18_1889,636 St Kilda Road,Melbourne,Australia,APAC
621,Suominen Souveniers,+358 9 8045 555,Classic Cars,Land-Based,S18_1889,"Software Engineering Center, SEC Oy",Espoo,Finland,EMEA
622,"Toys of Finland, Co.",90-224 8555,Classic Cars,Land-Based,S18_1889,Keskuskatu 45,Helsinki,Finland,EMEA
623,Scandinavian Gift Ideas,0695-34 6555,Classic Cars,Land-Based,S18_1889,?kergatan 24,Boras,Sweden,EMEA
624,Mini Caravy,88.60.1555,Classic Cars,Land-Based,S18_1889,"24, place Kluber",Strasbourg,France,EMEA
625,Salzburg Collectables,6562-9555,Classic Cars,Land-Based,S18_1889,Geislweg 14,Salzburg,Austria,EMEA
626,Motor Mint Distributors Inc.,2155559857,Classic Cars,Land-Based,S18_1984,11328 Douglas Av.,Philadelphia,USA,NA
627,Marseille Mini Autos,91.24.4555,Classic Cars,Land-Based,S18_1984,"12, rue des Bouchers",Marseille,France,EMEA
628,Alpha Cognac,61.77.6555,Classic Cars,Land-Based,S18_1984,1 rue Alsace-Lorraine,Toulouse,France,EMEA
629,"Anna's Decorations, Ltd",02 9936 8555,Classic Cars,Land-Based,S18_1984,201 Miller Street,North Sydney,Australia,APAC
630,Heintze Collectables,86 21 3555,Classic Cars,Land-Based,S18_1984,Smagsloget 45,Aaarhus,Denmark,EMEA
631,Quebec Home Shopping Network,(514) 555-8054,Classic Cars,Land-Based,S18_1984,43 rue St. Laurent,Montreal,Canada,NA
632,Herkku Gifts,+47 2267 3215,Classic Cars,Land-Based,S18_1984,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA
633,Online Diecast Creations Co.,6035558647,Classic Cars,Land-Based,S18_1984,2304 Long Airport Avenue,Nashua,USA,NA
634,Muscle Machine Inc,2125557413,Classic Cars,Land-Based,S18_1984,4092 Furth Circle,NYC,USA,NA
635,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S18_1984,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
636,Collectable Mini Designs Co.,7605558146,Classic Cars,Land-Based,S18_1984,361 Furth Circle,San Diego,USA,NA
637,Osaka Souveniers Co.,+81 06 6342 5555,Classic Cars,Land-Based,S18_1984,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,APAC
638,"UK Collectables, Ltd.",(171) 555-2282,Classic Cars,Land-Based,S18_1984,Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA
639,L'ordine Souveniers,0522-556555,Classic Cars,Land-Based,S18_1984,Strada Provinciale 124,Reggio Emilia,Italy,EMEA
640,Signal Gift Stores,7025551838,Classic Cars,Land-Based,S18_1984,8489 Strong St.,Las Vegas,USA,NA
641,"Vida Sport, Ltd",0897-034555,Classic Cars,Land-Based,S18_1984,Grenzacherweg 237,Gensve,Switzerland,EMEA
642,"Norway Gifts By Mail, Co.",+47 2212 1555,Classic Cars,Land-Based,S18_1984,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,EMEA
643,"Toms Spezialitten, Ltd",0221-5554327,Classic Cars,Land-Based,S18_1984,Mehrheimerstr. 369,Koln,Germany,EMEA
644,FunGiftIdeas.com,5085552555,Classic Cars,Land-Based,S18_1984,1785 First Street,New Bedford,USA,NA
645,Motor Mint Distributors Inc.,2155559857,Classic Cars,Land-Based,S18_1984,11328 Douglas Av.,Philadelphia,USA,NA
646,"Australian Collectors, Co.",03 9520 4555,Classic Cars,Land-Based,S18_1984,636 St Kilda Road,Melbourne,Australia,APAC
647,Lyon Souveniers,+33 1 46 62 7555,Classic Cars,Land-Based,S18_1984,27 rue du Colonel Pierre Avia,Paris,France,EMEA
648,Royale Belge,(071) 23 67 2555,Classic Cars,Land-Based,S18_1984,"Boulevard Tirou, 255",Charleroi,Belgium,EMEA
649,"Toys of Finland, Co.",90-224 8555,Classic Cars,Land-Based,S18_1984,Keskuskatu 45,Helsinki,Finland,EMEA
650,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S18_1984,5677 Strong St.,San Rafael,USA,NA
